route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,wheelchair_accessible,bikes_allowed
7-1,06_1,1582398813-6,MOSSON,1,1,,
7-1,06_1,1582398211-6,ODYSSEUM,1,0,,
7-1,06_1,1582398391-6,MOSSON,1,1,,
7-1,06_1,1582398812-6,MOSSON,1,1,,
7-1,06_1,1582398032-6,ODYSSEUM,1,0,,
7-1,06_1,1582398814-6,MOSSON,1,1,,
7-1,06_1,1582398029-6,ODYSSEUM,1,0,,
7-1,06_1,1582398815-6,MOSSON,1,1,,
7-1,06_1,1582398030-6,ODYSSEUM,1,0,,
7-1,06_1,1582398212-6,MOSSON,1,1,,
7-1,06_1,1582398026-6,ODYSSEUM,1,0,,
7-1,06_1,1582398234-6,ODYSSEUM,1,0,,
7-1,06_1,1582398854-6,MOSSON,1,1,,
7-1,06_1,1582398025-6,ODYSSEUM,1,0,,
7-1,06_1,1582398233-6,ODYSSEUM,1,0,,
7-1,06_1,1582398816-6,MOSSON,1,1,,
7-1,06_1,1582398217-6,ODYSSEUM,1,0,,
7-1,06_1,1582398031-6,MOSSON,1,1,,
7-1,06_1,1582398113-6,ODYSSEUM,1,0,,
7-1,06_1,1582398817-6,MOSSON,1,1,,
7-1,06_1,1582398219-6,ODYSSEUM,1,0,,
7-1,06_1,1582398312-6,ODYSSEUM,1,0,,
7-1,06_1,1582398024-6,ODYSSEUM,1,0,,
7-1,06_1,1582398855-6,MOSSON,1,1,,
7-1,06_1,1582398209-6,ODYSSEUM,1,0,,
7-1,06_1,1582398304-6,ODYSSEUM,1,0,,
7-1,06_1,1582398028-6,MOSSON,1,1,,
7-1,06_1,1582398276-6,ODYSSEUM,1,0,,
7-1,06_1,1582398256-6,ODYSSEUM,1,0,,
7-1,06_1,1582398023-6,ODYSSEUM,1,0,,
7-1,06_1,1582398225-6,ODYSSEUM,1,0,,
7-1,06_1,1582398027-6,MOSSON,1,1,,
7-1,06_1,1582398880-6,MOSSON,1,1,,
7-1,06_1,1582398112-6,ODYSSEUM,1,0,,
7-1,06_1,1582398226-6,ODYSSEUM,1,0,,
7-1,06_1,1582398022-6,MOSSON,1,1,,
7-1,06_1,1582398021-6,ODYSSEUM,1,0,,
7-1,06_1,1582398218-6,ODYSSEUM,1,0,,
7-1,06_1,1582398818-6,MOSSON,1,1,,
7-1,06_1,1582398328-6,MOSSON,1,1,,
7-1,06_1,1582398092-6,ODYSSEUM,1,0,,
7-1,06_1,1582398227-6,ODYSSEUM,1,0,,
7-1,06_1,1582398307-6,OCCITANIE,1,1,,
7-1,06_1,1582398237-6,ODYSSEUM,1,0,,
7-1,06_1,1582398315-6,MOSSON,1,1,,
7-1,06_1,1582398093-6,ODYSSEUM,1,0,,
7-1,06_1,1582398329-6,OCCITANIE,1,1,,
7-1,06_1,1582398076-6,MOSSON,1,1,,
7-1,06_1,1582398251-6,ODYSSEUM,1,0,,
7-1,06_1,1582398879-6,MOSSON,1,1,,
7-1,06_1,1582398327-6,MOSSON,1,1,,
7-1,06_1,1582398313-6,ODYSSEUM,1,0,,
7-1,06_1,1582398301-6,OCCITANIE,1,1,,
7-1,06_1,1582398330-6,ODYSSEUM,1,0,,
7-1,06_1,1582398235-6,MOSSON,1,1,,
7-1,06_1,1582398094-6,ODYSSEUM,1,0,,
7-1,06_1,1582398229-6,MOSSON,1,1,,
7-1,06_1,1582398274-6,ODYSSEUM,1,0,,
7-1,06_1,1582398325-6,ODYSSEUM,1,0,,
7-1,06_1,1582398885-6,OCCITANIE,1,1,,
7-1,06_1,1582398272-6,MOSSON,1,1,,
7-1,06_1,1582398077-6,MOSSON,1,1,,
