route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
7-1,TAM,T1,Mosson - Odysseum,0,005CA9,,
7-10,TAM,10,Aiguelongue (Jussieu)-Celleneuve,3,FFB900,,
7-11,TAM,11,La Martelle - Tournezy,3,5FC3E1,,
7-13,TAM,13,Universites - Universites,3,941B80,,
7-14,TAM,14,La Pompignane (Lacs) - Leon Blum,3,F3A08C,,
7-15,TAM,15,Place de France/Odysseum-Sabines,3,BF0D0D,,
7-16,TAM,16,Ch. de Gaulle - Port Marianne,3,009EE2,,
7-17,TAM,17,Les Bouisses - Gare Saint-Roch,3,DCC900,,
7-18,TMTP,18,Sabines - Maurin - Lattes Centre,3,E84E24,,
7-19,TAM,19,P. Coubertin - Hotel Departement,3,FFD400,,
7-2,TAM,T2,St-Jean de Vedas Centre - Jacou,0,EF7D00,,
7-20,TMTP,20,St-Jean le Sec - La Fermaude,3,009EE2,,
7-21,TMTP,21,ND de Sablassou - Vendargues,3,FFE500,,
7-22,TMTP,22,Universites - Clapiers - Jacou,3,81CFF4,,
7-23,TMTP,23,Occitanie - Prades-le-Lez,3,F29100,,
7-24,TMTP,24,Grabels: La Valsiere - Le Pradas,3,A61680,,
7-25,TMTP,25,Courpouyran - Le Martinet,3,904E00,,
7-26,TMTP,26,Occitanie - Montferrier-sur-Lez,3,306980,,
7-27,TMTP,27,Jacou - Baillargues via StDrezer,3,E20613,,
7-28,TMTP,28,Boirargues - Cabanes Perols,3,F29100,,
7-3,TAM,T3,Juvignac - Lattes / Perols,0,C8D400,,
7-30,TMTP,30,Le Cres Jean Jaures / Le Cres Ma,3,F4B4D2,,
7-31,TMTP,31,ND Sablassou - Baillargues via S,3,A9B400,,
7-32,TMTP,32,Garcia Lorca - Villeneuve-les-M.,3,008288,,
7-33,TMTP,33,St-Jean de Vedas (Centre)-Fabreg,3,C7D300,,
7-34,TMTP,34,Mosson - Cournonsec,3,729957,,
7-35,TMTP,35,Ch. de Gaule-A.Rouge/Aires,3,164193,,
7-36,TMTP,36,Charles de Gaulle - Cap Alpha -,3,E20613,,
7-38,TMTP,38,Rondelet - Cournonsec,3,8C004C,,
7-4,TAM,T4,Garcia Lorca - Garcia Lorca,0,4B2A0E,,
7-40,TMTP,40,Mosson - St-Georges d'Orques,3,FFDC00,,
7-41,TMTP,41,Castelnau:Ch.Gaulle-CliniqueParc,3,74B859,,
7-42,TMTP,42,Mosson - Murviel les Montpellier,3,E5007E,,
7-43,TMTP,43,St-Jean-le-Sec - Saussan - Pigna,3,FABC43,,
7-44,TMTP,44,Navette Gare Villeneuve-les-M.,3,E95296,,
7-46,TMTP,46,ND Sablassou - Castries College,3,7A1C79,,
7-50,TAM,50,Navette Gare,3,0059A1,,
7-51,TAM,51,Pl. de l'Europe-ND de Sablassou,3,E95296,,
7-52,TAM,52,Place de France - Grammont,3,FFE500,,
7-53,TAM,53,Sabines - Saint-Cleophas,3,95C11F,,
7-6,TAM,06,Euromedecine - Albert 1er Cath,3,E94190,,
7-7,TAM,07,Hotel du Departement - Peyrou,3,A777B1,,
7-8,TAM,08,Centrayrargues - Gare Saint-Roch,3,FFDC00,,
7-9,TAM,09,Pl. de France - Odysseum,3,00A14C,,
7-91,TAM,91,Substitution Ligne 1,3,E75294,,
7-92,TAM,92,Substitution Ligne 2,3,E75294,,
7-93,TMTP,93,Substitution Ligne 3,3,E75294,,
7-94,TMTP,94,Substitution Ligne 4,3,E75294,,
7-95,TAM,95,Substitution Ligne 3,3,E75294,,
7-96,TMTP,96,Navette Ovalie,3,E75294,,
8-1,TAM,T1,Mosson - Odysseum,0,005CA9,,
8-10,TAM,10,Aiguelongue (Jussieu)-Celleneuve,3,FFB900,,
8-11,TAM,11,La Martelle - Tournezy,3,5FC3E1,,
8-13,TAM,13,Universites - Universites,3,941B80,,
8-14,TAM,14,La Pompignane (Lacs) - Leon Blum,3,F3A08C,,
8-15,TAM,15,Place de France/Odysseum-Sabines,3,BF0D0D,,
8-16,TAM,16,Ch. de Gaulle - Port Marianne,3,009EE2,,
8-17,TAM,17,Les Bouisses - Gare Saint-Roch,3,DCC900,,
8-18,TMTP,18,Sabines - Maurin - Lattes Centre,3,E84E24,,
8-19,TAM,19,P. Coubertin - Hotel Departement,3,FFD400,,
8-2,TAM,T2,St-Jean de Vedas Centre - Jacou,0,EF7D00,,
8-20,TMTP,20,St-Jean le Sec - La Fermaude,3,009EE2,,
8-21,TMTP,21,ND de Sablassou - Vendargues,3,FFE500,,
8-22,TMTP,22,Universites - Clapiers - Jacou,3,81CFF4,,
8-23,TMTP,23,Occitanie - Prades-le-Lez,3,F29100,,
8-24,TMTP,24,Grabels: La Valsiere - Le Pradas,3,A61680,,
8-25,TMTP,25,Courpouyran - Le Martinet,3,904E00,,
8-26,TMTP,26,Occitanie - Montferrier-sur-Lez,3,306980,,
8-27,TMTP,27,Jacou - Baillargues via StDrezer,3,E20613,,
8-28,TMTP,28,Boirargues - Cabanes Perols,3,F29100,,
8-3,TAM,T3,Juvignac - Lattes / Perols,0,C8D400,,
8-30,TMTP,30,Le Cres Jean Jaures / Le Cres Ma,3,F4B4D2,,
8-31,TMTP,31,ND Sablassou - Baillargues via S,3,A9B400,,
8-32,TMTP,32,Garcia Lorca - Villeneuve-les-M.,3,008288,,
8-33,TMTP,33,St-Jean de Vedas (Centre)-Fabreg,3,C7D300,,
8-34,TMTP,34,Mosson - Cournonsec,3,729957,,
8-35,TMTP,35,Ch. de Gaule-A.Rouge/Aires,3,164193,,
8-36,TMTP,36,Charles de Gaulle - Cap Alpha -,3,E20613,,
8-38,TMTP,38,Rondelet - Cournonsec,3,8C004C,,
8-4,TAM,T4,Garcia Lorca - Garcia Lorca,0,4B2A0E,,
8-40,TMTP,40,Mosson - St-Georges d'Orques,3,FFDC00,,
8-41,TMTP,41,Castelnau:Ch.Gaulle-CliniqueParc,3,74B859,,
8-42,TMTP,42,Mosson - Murviel les Montpellier,3,E5007E,,
8-43,TMTP,43,St-Jean-le-Sec - Saussan - Pigna,3,FABC43,,
8-44,TMTP,44,Navette Gare Villeneuve-les-M.,3,E95296,,
8-46,TMTP,46,ND Sablassou - Castries College,3,7A1C79,,
8-50,TAM,50,Navette Gare,3,0059A1,,
8-51,TAM,51,Pl. de l'Europe-ND de Sablassou,3,E95296,,
8-52,TAM,52,Place de France - Grammont,3,FFE500,,
8-53,TAM,53,Sabines - Saint-Cleophas,3,95C11F,,
8-6,TAM,06,Euromedecine - Albert 1er Cath,3,E94190,,
8-7,TAM,07,Hotel du Departement - Peyrou,3,A777B1,,
8-8,TAM,08,Centrayrargues - Gare Saint-Roch,3,FFDC00,,
8-9,TAM,09,Pl. de France - Odysseum,3,00A14C,,
8-91,TAM,91,Substitution Ligne 1,3,E75294,,
8-92,TAM,92,Substitution Ligne 2,3,E75294,,
8-93,TMTP,93,Substitution Ligne 3,3,E75294,,
8-94,TMTP,94,Substitution Ligne 4,3,E75294,,
8-95,TAM,95,Substitution Ligne 3,3,E75294,,
8-96,TMTP,96,Navette Ovalie,3,E75294,,
