stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
5,21,Gare Saint-Roch (Pont de Sète),43.604115,3.878247,,,1
20,1112,Tonnelles,43.614075,3.837982,,,1
21,1113,Petit Bard,43.614632,3.835423,,,1
22,1114,Marie Curie,43.614841,3.831283,,,1
23,1115,Renaudel,43.614635,3.828098,,,1
28,1124,Gémeaux,43.633236,3.822606,,,1
29,1125,Hauts de Massane,43.636143,3.82257,,,1
30,1126,Raimbaud d'Orange,43.637489,3.820786,,,1
31,1127,Comté de Toulouse,43.636978,3.819287,,,1
32,1130,Place d'Italie,43.641808,3.818385,,,1
33,1131,Jacques Prévert,43.642353,3.814104,,,1
34,1132,Corse,43.640533,3.81116,,,1
35,1133,Comté de Nice,43.638638,3.811767,,,1
36,1134,Mas de Bellevue,43.636501,3.812801,,,1
37,1135,Pierre de Coubertin,43.637848,3.814816,,,1
38,1137,Halles de la Paillade,43.627464,3.817617,,,1
39,1138,Oxford,43.626957,3.8204,,,1
41,1141,Pierre de Coubertin,43.637753,3.814641,,,1
42,1142,Pierre Cardenal,43.638725,3.81901,,,1
43,1143,Carriéra,43.640831,3.818954,,,1
44,1202,Mas de Bellevue,43.637115,3.812508,,,1
45,1203,Comté de Nice,43.638905,3.81118,,,1
46,1204,Corse,43.640991,3.811692,,,1
47,1205,Jacques Prévert,43.642262,3.814077,,,1
48,1206,Place d'Italie,43.641865,3.818325,,,1
49,1208,Carriéra,43.640789,3.819225,,,1
50,1209,Pierre Cardenal,43.637993,3.818794,,,1
51,1210,Comté de Toulouse,43.636822,3.818862,,,1
52,1211,Raimbaud d'Orange,43.637424,3.821428,,,1
53,1212,Hauts de Massane,43.63612,3.82278,,,1
54,1213,Gémeaux,43.631966,3.822226,,,1
60,1223,Renaudel,43.614597,3.828159,,,1
61,1224,Marie Curie,43.614746,3.831058,,,1
62,1225,Petit Bard,43.614574,3.8351,,,1
63,1226,Tonnelles,43.613899,3.838225,,,1
75,1240,Halles de la Paillade,43.627796,3.817601,,,1
79,2125,Ambroise Paré,43.638035,3.847648,,,1
80,2126,Route de Ganges,43.642982,3.84529,,,1
81,2127,Antennes,43.644756,3.841983,,,1
82,2128,Val d'Aurelle,43.642727,3.835913,,,1
83,2129,Puech Villa,43.640083,3.829394,,,1
92,2202,Euromédecine,43.638859,3.827567,,,1
93,2203,Puech Villa,43.639713,3.829694,,,1
94,2204,Val d'Aurelle,43.642773,3.836446,,,1
95,2205,Antennes,43.644688,3.842228,,,1
96,2206,Route de Ganges,43.642841,3.845138,,,1
101,3101,Tournezy,43.579128,3.877845,,,1
102,3102,Mas Saint-Pierre,43.582111,3.879867,,,1
105,3105,Saporta,43.584606,3.888269,,,1
106,3106,Mas Argelliers,43.586803,3.889392,,,1
107,3107,Garcia Lorca,43.591145,3.890166,,,1
108,3108,Cité de l'Arme,43.593246,3.889567,,,1
109,3109,Lucullus,43.594788,3.888546,,,1
110,3110,Frédéric Fabrège,43.597324,3.886611,,,1
111,3111,Iris,43.598995,3.88537,,,1
112,3112,Cité Mion,43.601353,3.884716,,,1
115,3118,Saint-Roch,43.615204,3.869687,,,1
116,3119,La Pile,43.617313,3.86811,,,1
117,3120,Maison des Sports,43.618412,3.864625,,,1
118,3121,Pous de la Sers,43.619106,3.86186,,,1
119,3124,Cinsaults,43.62059,3.856888,,,1
120,3125,Henri Marès,43.62019,3.854093,,,1
121,3126,Louis Ravaz,43.620106,3.85221,,,1
122,3129,Las Rébès,43.620804,3.849234,,,1
123,3130,Cévennes,43.622097,3.846286,,,1
124,3131,Sainte-Geneviève,43.62344,3.843945,,,1
125,3135,Alco,43.625603,3.840339,,,1
126,3136,Pierre Viala,43.61742,3.854106,,,1
127,3137,Louis Ravaz,43.619694,3.851419,,,1
128,3138,Occitanie,43.634354,3.848602,,,1
129,3139,Apothicaires,43.641617,3.83493,,,1
130,3140,La Gaillarde,43.616264,3.857713,,,1
131,3141,Château d'Ô,43.631283,3.842927,,,1
132,3201,Alco,43.625832,3.839504,,,1
133,3202,Sainte-Geneviève,43.623028,3.844479,,,1
134,3203,Cévennes,43.622025,3.846185,,,1
135,3204,Las Rébès,43.620743,3.84917,,,1
136,3205,Louis Ravaz,43.620018,3.852145,,,1
137,3206,Henri Marès,43.620113,3.854338,,,1
138,3207,Cinsaults,43.620518,3.856997,,,1
139,3209,Pous de la Sers,43.619289,3.861159,,,1
140,3210,Maison des Sports,43.618347,3.864314,,,1
144,3216,Cité Mion,43.60041,3.88469,,,1
145,3217,Iris,43.598492,3.885566,,,1
146,3218,Frédéric Fabrège,43.597382,3.886464,,,1
147,3219,Lucullus,43.594707,3.888469,,,1
148,3220,Cité de l'Arme,43.593639,3.889219,,,1
149,3221,Garcia Lorca,43.590912,3.890073,,,1
150,3222,Mas Argelliers,43.586521,3.889075,,,1
151,3223,Saporta,43.583603,3.887562,,,1
154,3226,Mas Saint-Pierre,43.582111,3.879867,,,1
155,3228,Occitanie,43.634354,3.848602,,,1
156,3229,Louis Ravaz,43.619659,3.851369,,,1
157,3230,Pierre Viala,43.616589,3.854962,,,1
158,3231,La Gaillarde,43.616287,3.858641,,,1
159,3232,Apothicaires,43.641678,3.835142,,,1
169,4116,Jean Mermoz,43.612595,3.889289,,,1
175,4124,Roger Salengro,43.632759,3.896261,,,1
176,4125,Mairie de Castelnau,43.633003,3.897431,,,1
178,4127,Castors,43.63282,3.903875,,,1
186,4135,Saint-Exupéry,43.641537,3.923202,,,1
187,4136,Place du Forum,43.644634,3.923982,,,1
191,4141,Corum,43.614582,3.882303,,,1
194,4161,Sapins,43.637009,3.910203,,,1
195,4162,Thym,43.637955,3.906244,,,1
196,4163,Chênes,43.639046,3.909183,,,1
197,4164,Mûriers,43.640667,3.911369,,,1
198,4165,Sycomores,43.641857,3.910622,,,1
199,4166,Place de la Monnaie,43.644142,3.910301,,,1
200,4167,Chemin de la Monnaie,43.643562,3.910619,,,1
201,4168,Buissonnets,43.645504,3.907008,,,1
202,4169,Balestrier,43.644264,3.903285,,,1
204,4201,Les Aires,43.64249,3.89956,,,1
205,4202,Balestrier,43.644211,3.903234,,,1
206,4203,Buissonnets,43.645485,3.90707,,,1
207,4204,Chemin de la Monnaie,43.643593,3.910546,,,1
208,4205,Place de la Monnaie,43.644279,3.91023,,,1
209,4206,Sycomores,43.641846,3.91056,,,1
210,4207,Mûriers,43.640625,3.911652,,,1
211,4208,Chênes,43.639019,3.908984,,,1
212,4209,Thym,43.637756,3.906164,,,1
213,4210,Sapins,43.636906,3.910287,,,1
221,4218,Cimetière,43.631985,3.897564,,,1
238,4244,Bagatelle,43.595085,3.844174,,,1
242,4263,Place du Forum,43.64452,3.923979,,,1
243,4264,Saint-Exupéry,43.641575,3.923129,,,1
249,5102,Castelle,43.586628,3.872173,,,1
250,5103,Passerines,43.588413,3.872394,,,1
251,5104,Les Pins,43.590958,3.873476,,,1
254,40202,Le Saint-Georges,43.610607,3.784295,,,1
264,5125,Vert-Bois,43.634731,3.867698,,,1
265,5126,CNRS,43.638836,3.865456,,,1
266,5127,Montmaur,43.640919,3.863544,,,1
268,5161,Lavalette,43.63773,3.869326,,,1
269,5162,Zoo,43.639957,3.873137,,,1
270,13203,Campus Agropolis,43.644665,3.869512,,,1
271,5165,Agropolis,43.64674,3.868553,,,1
274,5202,Lycée Frédéric Bazille,43.645576,3.862344,,,1
280,5212,Rondelet,43.604084,3.874844,,,1
289,5228,Castelle,43.58662,3.871937,,,1
290,5230,Hortus,43.642967,3.859811,,,1
298,5283,Zoo,43.639904,3.873098,,,1
299,5284,Lavalette,43.637695,3.869214,,,1
309,40102,Le Saint-Georges,43.610607,3.784295,,,1
314,6101,Pas du Loup,43.601158,3.848998,,,1
318,6105,Le Grand M,43.590984,3.854566,,,1
319,6106,Avenue de Toulouse,43.591316,3.857704,,,1
320,6107,Ronceray,43.593761,3.860317,,,1
322,6109,Guillaume Janvier,43.597649,3.86454,,,1
324,6115,Universités Sciences et Lettres,43.629166,3.861386,,,1
325,6116,Eugène Bataillon,43.631462,3.860977,,,1
326,6117,Gascogne,43.634308,3.860013,,,1
328,6119,École d'Architecture,43.637718,3.859114,,,1
329,6120,Maurice Chauvet,43.638638,3.856514,,,1
330,23159,Pic Saint-Loup,43.63913,3.853544,,,1
332,23259,Pic Saint-Loup,43.639168,3.85326,,,1
333,6203,Maurice Chauvet,43.638496,3.856832,,,1
334,13124,École d'Architecture,43.637894,3.858277,,,1
335,6205,Gascogne,43.634411,3.859904,,,1
336,6206,Eugène Bataillon,43.631733,3.86034,,,1
338,5140,Charles Flahault,43.618423,3.86642,,,1
339,12230,Saint-Cléophas,43.59465,3.875728,,,1
340,6212,Guillaume Janvier,43.597111,3.863808,,,1
342,6214,Ronceray,43.593914,3.860321,,,1
343,6215,Avenue de Toulouse,43.591843,3.858089,,,1
344,6216,Le Grand M,43.590622,3.855262,,,1
352,7101,Saint-Priest,43.635159,3.843685,,,1
353,7104,Château d'Ô,43.631931,3.842399,,,1
354,7106,Pléiade,43.628513,3.8457,,,1
355,7107,Font Trouvé,43.626984,3.847677,,,1
356,7108,Gardioles,43.62508,3.850832,,,1
357,7109,Cervantès,43.622181,3.855037,,,1
358,7110,La Source,43.621075,3.856814,,,1
359,7111,Cité Roger,43.620445,3.858208,,,1
360,7113,Collège Camille Claudel,43.616398,3.862035,,,1
361,7114,Sainte-Thérèse,43.614269,3.865183,,,1
362,7115,Paladilhe,43.612049,3.867189,,,1
365,7118,Gouara,43.603058,3.86278,,,1
366,7119,Mas de Merle,43.604485,3.8573,,,1
367,7120,Étoile,43.605183,3.854783,,,1
368,7121,Figairasse,43.60714,3.850456,,,1
369,7122,François Dezeuze,43.608665,3.845659,,,1
371,7124,Lycée Jules Ferry,43.608704,3.840971,,,1
372,7125,Martellière,43.606712,3.837466,,,1
374,7127,Gustave Eiffel,43.609249,3.832721,,,1
375,7128,Croix des Rosiers,43.610687,3.83089,,,1
376,7129,Grèzes,43.609634,3.827646,,,1
377,7131,La Martelle,43.60733,3.826571,,,1
378,7132,Hôtel du Département,43.622074,3.835395,,,1
381,7161,Sophie Germain,43.605034,3.835332,,,1
382,7162,Ormeaux,43.602043,3.833732,,,1
384,7165,Les Bouisses,43.598568,3.835298,,,1
385,7201,La Martelle,43.60738,3.826672,,,1
386,7202,Grèzes,43.609756,3.827773,,,1
387,7203,Croix des Rosiers,43.610889,3.830413,,,1
390,7206,Martellière,43.607178,3.838258,,,1
391,7207,Lycée Jules Ferry,43.608658,3.84092,,,1
393,7209,François Dezeuze,43.608597,3.84656,,,1
394,7210,Figairasse,43.607059,3.85054,,,1
395,7211,Étoile,43.605148,3.854794,,,1
396,7212,Mas de Merle,43.604343,3.857581,,,1
397,7213,Gouara,43.60305,3.862705,,,1
398,7214,Croix du Capitaine,43.602062,3.866501,,,1
400,7216,Doria,43.612476,3.867906,,,1
401,7217,Sainte-Thérèse,43.614113,3.865537,,,1
402,7218,Collège Camille Claudel,43.616451,3.862098,,,1
403,7219,Cité Roger,43.620403,3.858553,,,1
404,7221,La Source,43.621643,3.856012,,,1
405,7222,Cervantès,43.62299,3.854464,,,1
406,7223,Gardioles,43.624695,3.851973,,,1
407,7224,Mûriers,43.62619,3.849154,,,1
408,7225,Font Trouvé,43.626888,3.848071,,,1
409,7226,Pléiade,43.628448,3.845872,,,1
410,7228,Saint-Priest,43.634468,3.84358,,,1
411,7231,Château d'Ô,43.631283,3.842927,,,1
413,11135,Rondelet,43.603264,3.875589,,,1
414,7261,Les Bouisses,43.598614,3.835398,,,1
415,7262,Ormeaux,43.603012,3.833275,,,1
416,7263,Sophie Germain,43.605068,3.835456,,,1
419,8103,Jean Mirailhet,43.595406,3.891333,,,1
420,8104,Collège des Aiguerelles,43.597576,3.892246,,,1
421,8105,Chambéry,43.599319,3.889114,,,1
422,8106,Soleiado,43.600689,3.886454,,,1
424,8110,Ernest Renan,43.615448,3.885308,,,1
425,8111,Pinsons,43.616947,3.886104,,,1
426,8112,Estragon,43.618683,3.887957,,,1
427,8113,Boulevard des Sports,43.619556,3.889825,,,1
430,8116,Palombes,43.61948,3.893857,,,1
431,8118,Foyer des Aubes,43.618454,3.894621,,,1
432,8119,Garigliano,43.61879,3.897414,,,1
433,8120,Salaison,43.623894,3.898803,,,1
434,8121,La Pompignane (Les Lacs),43.625809,3.900799,,,1
435,8122,Pioch Pelat,43.626205,3.902431,,,1
437,8124,Mas de Rochet,43.625866,3.906109,,,1
442,8202,Pioch Pelat,43.626293,3.901975,,,1
443,8203,La Pompignane (Les Lacs),43.624683,3.89953,,,1
444,8204,Salaison,43.623814,3.89864,,,1
445,8205,Garigliano,43.618603,3.897223,,,1
446,8206,Foyer des Aubes,43.618492,3.894869,,,1
447,8208,Palombes,43.619728,3.894024,,,1
449,8210,Françoise,43.619949,3.891122,,,1
450,8211,Boulevard des Sports,43.619411,3.889227,,,1
451,8212,Estragon,43.618587,3.887744,,,1
452,8213,Pinsons,43.617188,3.886283,,,1
453,8214,Ernest Renan,43.615433,3.885209,,,1
457,8218,Hélios,43.60099,3.885597,,,1
458,8219,Soleiado,43.600311,3.887001,,,1
459,8220,Chambéry,43.598869,3.889757,,,1
460,8221,Collège des Aiguerelles,43.597561,3.892134,,,1
469,9109,Belvédère,43.617008,3.842414,,,1
470,9110,Saint-Clément,43.617718,3.844388,,,1
471,9111,Las Cazes,43.616096,3.847117,,,1
472,9112,Espérance,43.614113,3.850059,,,1
473,9113,Saint-Gabriel,43.614601,3.85246,,,1
474,9114,Las Sorbes,43.615162,3.854875,,,1
475,9115,Érables,43.614971,3.856862,,,1
476,9116,Louvain,43.61348,3.858641,,,1
477,9117,Avenue de l'Agriculture,43.612106,3.861104,,,1
478,9118,Glycines,43.61187,3.863906,,,1
482,9122,Paul Painlevé,43.611206,3.898518,,,1
483,9123,Colverts,43.613735,3.898154,,,1
484,9124,Saint-Jean,43.615433,3.897792,,,1
485,9125,Marie Durand,43.618332,3.898094,,,1
486,9126,André Malraux,43.619419,3.900438,,,1
487,9129,Semard,43.619141,3.903066,,,1
488,9132,Semard,43.61916,3.9035,,,1
490,9134,Place de l'Europe,43.607422,3.894035,,,1
492,9202,André Malraux,43.619495,3.900254,,,1
493,9203,Marie Durand,43.618362,3.897872,,,1
494,9204,Saint-Jean,43.615612,3.897649,,,1
495,9205,Colverts,43.613701,3.898092,,,1
496,9206,Paul Painlevé,43.610519,3.898561,,,1
498,9208,Saint-Michel,43.606609,3.898603,,,1
499,9209,Paladilhe,43.612335,3.866492,,,1
500,9210,Glycines,43.611988,3.863142,,,1
501,9211,Avenue de l'Agriculture,43.61216,3.861167,,,1
502,9212,Louvain,43.613297,3.858983,,,1
