trip_id,route_id,stop_id,delay_seconds,delay_minutes
1582398149-6,7-1,1071,-188,-3.1333333333333333
1582398149-6,7-1,1764,6,0.1
1582398149-6,7-1,1072,-17,-0.2833333333333333
1582398149-6,7-1,1073,-27,-0.45
1582398149-6,7-1,1074,57,0.95
1582398149-6,7-1,1075,88,1.4666666666666666
1582398149-6,7-1,1076,67,1.1166666666666667
1582398149-6,7-1,1077,91,1.5166666666666666
1582398149-6,7-1,1078,111,1.85
1582398149-6,7-1,1079,102,1.7
1582398149-6,7-1,1080,122,2.033333333333333
1582398149-6,7-1,1081,112,1.8666666666666667
1582398149-6,7-1,1082,123,2.05
1582398149-6,7-1,1083,93,1.55
1582398149-6,7-1,1084,113,1.8833333333333333
1582398149-6,7-1,1085,83,1.3833333333333333
1582398149-6,7-1,1086,113,1.8833333333333333
1582398149-6,7-1,1087,113,1.8833333333333333
1582398149-6,7-1,1088,113,1.8833333333333333
1582398149-6,7-1,1752,94,1.5666666666666667
1582398149-6,7-1,1090,89,1.4833333333333334
1582398149-6,7-1,1091,114,1.9
1582398149-6,7-1,1092,114,1.9
1582398149-6,7-1,1093,114,1.9
1582398149-6,7-1,1094,95,1.5833333333333333
1582398149-6,7-1,1095,114,1.9
1582398149-6,7-1,1652,94,1.5666666666666667
1582398149-6,7-1,1096,114,1.9
1582398149-6,7-1,1540,114,1.9
1582398149-6,7-1,1097,114,1.9
1582398285-6,7-1,1098,0,0.0
1582398150-6,7-1,1071,98,1.6333333333333333
1582398150-6,7-1,1764,216,3.6
1582398150-6,7-1,1072,216,3.6
1582398150-6,7-1,1073,216,3.6
1582398150-6,7-1,1074,216,3.6
1582398150-6,7-1,1075,216,3.6
1582398150-6,7-1,1076,216,3.6
1582398150-6,7-1,1077,216,3.6
1582398150-6,7-1,1078,216,3.6
1582398150-6,7-1,1079,217,3.6166666666666667
1582398150-6,7-1,1080,217,3.6166666666666667
1582398150-6,7-1,1081,217,3.6166666666666667
1582398150-6,7-1,1082,218,3.6333333333333333
1582398150-6,7-1,1083,218,3.6333333333333333
1582398150-6,7-1,1084,218,3.6333333333333333
1582398150-6,7-1,1085,218,3.6333333333333333
1582398150-6,7-1,1086,218,3.6333333333333333
1582398150-6,7-1,1087,218,3.6333333333333333
1582398150-6,7-1,1088,218,3.6333333333333333
1582398150-6,7-1,1752,219,3.65
1582398150-6,7-1,1090,219,3.65
1582398150-6,7-1,1091,219,3.65
1582398150-6,7-1,1092,219,3.65
1582398150-6,7-1,1093,219,3.65
1582398150-6,7-1,1094,220,3.6666666666666665
1582398150-6,7-1,1095,219,3.65
1582398150-6,7-1,1652,219,3.65
1582398150-6,7-1,1096,219,3.65
1582398150-6,7-1,1540,219,3.65
1582398150-6,7-1,1097,219,3.65
1582398203-6,7-1,1098,0,0.0
1582398871-6,7-1,1071,-325,-5.416666666666667
1582398871-6,7-1,1764,-45,-0.75
1582398871-6,7-1,1072,-53,-0.8833333333333333
1582398871-6,7-1,1073,-66,-1.1
1582398871-6,7-1,1074,-23,-0.38333333333333336
1582398871-6,7-1,1075,20,0.3333333333333333
1582398871-6,7-1,1076,-7,-0.11666666666666667
1582398871-6,7-1,1077,-4,-0.06666666666666667
1582398871-6,7-1,1078,-4,-0.06666666666666667
1582398871-6,7-1,1079,-3,-0.05
1582398871-6,7-1,1080,24,0.4
1582398871-6,7-1,1081,-3,-0.05
1582398871-6,7-1,1082,25,0.4166666666666667
1582398871-6,7-1,1083,-2,-0.03333333333333333
1582398871-6,7-1,1084,-2,-0.03333333333333333
1582398871-6,7-1,1085,-2,-0.03333333333333333
1582398871-6,7-1,1086,-2,-0.03333333333333333
1582398871-6,7-1,1087,-2,-0.03333333333333333
1582398871-6,7-1,1088,-2,-0.03333333333333333
1582398871-6,7-1,1752,26,0.43333333333333335
1582398871-6,7-1,1090,-1,-0.016666666666666666
1582398871-6,7-1,1091,-1,-0.016666666666666666
1582398871-6,7-1,1092,-1,-0.016666666666666666
1582398871-6,7-1,1093,-1,-0.016666666666666666
1582398871-6,7-1,1094,0,0.0
1582398871-6,7-1,1095,-1,-0.016666666666666666
1582398871-6,7-1,1652,-1,-0.016666666666666666
1582398871-6,7-1,1096,-1,-0.016666666666666666
1582398871-6,7-1,1540,-1,-0.016666666666666666
1582398871-6,7-1,1097,-1,-0.016666666666666666
1582398202-6,7-1,1098,0,0.0
1582398224-6,7-1,1098,36,0.6
1582398224-6,7-1,1541,3,0.05
1582398224-6,7-1,1099,6,0.1
1582398224-6,7-1,1653,2,0.03333333333333333
1582398224-6,7-1,1100,43,0.7166666666666667
1582398224-6,7-1,1101,38,0.6333333333333333
1582398224-6,7-1,1102,26,0.43333333333333335
1582398224-6,7-1,1103,40,0.6666666666666666
1582398224-6,7-1,1104,49,0.8166666666666667
1582398224-6,7-1,1105,39,0.65
1582398224-6,7-1,1751,-3,-0.05
1582398224-6,7-1,1107,57,0.95
1582398224-6,7-1,1108,57,0.95
1582398224-6,7-1,1109,57,0.95
1582398224-6,7-1,1110,58,0.9666666666666667
1582398224-6,7-1,1111,77,1.2833333333333334
1582398224-6,7-1,1112,109,1.8166666666666667
1582398224-6,7-1,1113,108,1.8
1582398224-6,7-1,1114,108,1.8
1582398224-6,7-1,1115,136,2.2666666666666666
1582398224-6,7-1,1116,125,2.0833333333333335
1582398224-6,7-1,1117,125,2.0833333333333335
1582398224-6,7-1,1118,147,2.45
1582398224-6,7-1,1119,167,2.783333333333333
1582398224-6,7-1,1120,156,2.6
1582398224-6,7-1,1121,142,2.3666666666666667
1582398224-6,7-1,1122,157,2.6166666666666667
1582398224-6,7-1,1123,184,3.066666666666667
1582398224-6,7-1,1765,196,3.2666666666666666
1582398224-6,7-1,1071,196,3.2666666666666666
1582398153-6,7-1,1071,-165,-2.75
1582398153-6,7-1,1764,0,0.0
1582398153-6,7-1,1072,0,0.0
1582398153-6,7-1,1073,0,0.0
1582398153-6,7-1,1074,0,0.0
1582398153-6,7-1,1075,0,0.0
1582398153-6,7-1,1076,0,0.0
1582398153-6,7-1,1077,0,0.0
1582398153-6,7-1,1078,0,0.0
1582398153-6,7-1,1079,1,0.016666666666666666
1582398153-6,7-1,1080,1,0.016666666666666666
1582398153-6,7-1,1081,1,0.016666666666666666
1582398153-6,7-1,1082,2,0.03333333333333333
1582398153-6,7-1,1083,2,0.03333333333333333
1582398153-6,7-1,1084,2,0.03333333333333333
1582398153-6,7-1,1085,2,0.03333333333333333
1582398153-6,7-1,1086,2,0.03333333333333333
1582398153-6,7-1,1087,2,0.03333333333333333
1582398153-6,7-1,1088,2,0.03333333333333333
1582398153-6,7-1,1752,3,0.05
1582398153-6,7-1,1090,3,0.05
1582398153-6,7-1,1091,3,0.05
1582398153-6,7-1,1092,3,0.05
1582398153-6,7-1,1093,3,0.05
1582398153-6,7-1,1094,4,0.06666666666666667
1582398153-6,7-1,1095,3,0.05
1582398153-6,7-1,1652,3,0.05
1582398153-6,7-1,1096,3,0.05
1582398153-6,7-1,1540,3,0.05
1582398153-6,7-1,1097,3,0.05
1582398152-6,7-1,1071,-109,-1.8166666666666667
1582398152-6,7-1,1764,38,0.6333333333333333
1582398152-6,7-1,1072,38,0.6333333333333333
1582398152-6,7-1,1073,38,0.6333333333333333
1582398152-6,7-1,1074,38,0.6333333333333333
1582398152-6,7-1,1075,38,0.6333333333333333
1582398152-6,7-1,1076,38,0.6333333333333333
1582398152-6,7-1,1077,38,0.6333333333333333
1582398152-6,7-1,1078,38,0.6333333333333333
1582398152-6,7-1,1079,39,0.65
1582398152-6,7-1,1080,39,0.65
1582398152-6,7-1,1081,39,0.65
1582398152-6,7-1,1082,40,0.6666666666666666
1582398152-6,7-1,1083,40,0.6666666666666666
1582398152-6,7-1,1084,40,0.6666666666666666
1582398152-6,7-1,1085,40,0.6666666666666666
1582398152-6,7-1,1086,40,0.6666666666666666
1582398152-6,7-1,1087,40,0.6666666666666666
1582398152-6,7-1,1088,40,0.6666666666666666
